uid,brand,year,model,title,usedOrNew,transmission,engine,driveType,fuelType,fuelConsumption,kilometres,cylindersInEngine,bodyType,suburb,state,doors,seats,extColour,intColour,price
ca340165-517f-4ec1-9358-4453e6ac328c,Toyota,2012,Hilux,SR5 (4X4),USED,Automatic,3.0,4WD,Diesel,9.3,176700,4.0,Ute / Tray,Wangara,WA,4,5,Blue,Black,33990
b50a4ca2-5aa6-4fdf-9f59-e89c2f0ba94b,Toyota,2019,Yaris,Ascent,USED,Automatic,1.3,Front,Unleaded,6.4,111041,4.0,Hatchback,Brookvale,NSW,5,5,White,Black,20990
44e52c65-cf4b-473a-9ede-b40f66fb2ca5,Toyota,2017,Hilux,SR5 (4X4),USED,Automatic,2.8,4WD,Diesel,8.5,116988,4.0,Ute / Tray,Liverpool,NSW,4,5,Black,Black,44888
cd3f341a-cb89-4e6b-bc66-8f1d8b42e794,Toyota,2019,Hilux,Rogue (4X4),USED,Automatic,2.8,4WD,Diesel,8.5,42136,4.0,Ute / Tray,Albion Park Rail,NSW,4,5,Red,Black,61990
3e7378a8-49c1-4d4a-9751-003f8ce3a2da,Toyota,2019,Kluger,GXL Black Edition (2WD),USED,Automatic,3.5,Front,Unleaded,9.1,69550,6.0,SUV,North Wollongong,NSW,4,7,Grey,9Tld20,49990
3f275a84-c325-4411-a3b2-fec7508b9e69,Toyota,2020,Yaris,Cross GXL,USED,Automatic,1.5,Front,Unleaded,5.4,28947,3.0,SUV,North Wollongong,NSW,4,5,White,40Fa60,33490
19b5e05a-8ff2-4f98-bdcf-6183afcdf5e9,Toyota,2009,Yaris,YR,USED,Automatic,1.3,Front,Unleaded,6.5,195535,4.0,Hatchback,Kenwick,WA,5,5,Red,Black,9450
41bf63c3-6360-4d5d-841c-15156b1a2bbd,Toyota,2022,Landcruiser,LC300 Sahara (4X4),USED,Automatic,3.3,4WD,Diesel,8.9,12213,6.0,SUV,Myaree,WA,4,7,Brown,Black,155990
6c9a19f8-f9bc-4562-a75d-b8049f838578,Toyota,2023,Landcruiser,70 Series LC79 GXL,USED,Manual,4.5,AWD,Diesel,10.7,535,8.0,Ute / Tray,Taree,NSW,4,5,Gold,Grey,119950
d100c00d-55c5-43a9-890c-f6d10af3fe35,Toyota,2014,Yaris,YRX,USED,Automatic,1.5,Front,Unleaded,6.3,98357,4.0,Hatchback,Minchinbury,NSW,5,5,Black,Blck,17990
965e4b0f-1d0a-4a94-b1be-9d63b87feff6,Toyota,2017,Hilux,SR (4X4),USED,Automatic,2.8,4WD,Diesel,9.0,222883,4.0,Ute / Tray,Woodridge,QLD,2,2,White,Grey,34990
d1f77ce4-e704-4219-9163-37d29487ab92,Toyota,2012,Hilux,SR,USED,Manual,3.0,Rear,Diesel,8.1,323542,4.0,Ute / Tray,Blacktown,NSW,4,5,White,Grey,13490
f8fa6ecf-f96a-498f-82ce-78eef37c6160,Toyota,2022,RAV4,GX (2WD),USED,Automatic,2.0,Front,Unleaded,6.0,8492,4.0,SUV,Albion Park,NSW,5,5,Silver,74Fb20,39990
916b0a71-a6b5-490d-8a74-1a8a5988cc5a,Toyota,2008,Kluger,KX-R (fwd) 7 Seat,USED,Automatic,3.5,Front,Unleaded,11.0,241220,6.0,SUV,Croydon,NSW,4,7,Silver,Grey,13990
75336374-a7dd-47e8-bcb1-2b3a3d1a4a44,Toyota,2011,Hilux,SR5 (4X4),USED,Automatic,4.0,4WD,Unleaded,13.0,198324,6.0,Ute / Tray,Wangara,WA,4,5,Grey,Grey,24990
bbe37088-d469-48d7-ab9e-a4950ea65647,Toyota,2018,Hilux,SR (4X4),USED,Automatic,2.8,4WD,Diesel,8.5,140937,4.0,Ute / Tray,Bunbury,WA,4,5,White,Black Fabric,39990
22ac2a82-9c5f-4c71-9145-a8f82fe2dccc,Toyota,2015,RAV4,GX (2WD),USED,Automatic,2.0,Front,Unleaded,7.4,119342,4.0,SUV,Liverpool,NSW,4,5,White,Black,21888
dd41efcd-92d3-4fc3-b369-1c137e02568f,Toyota,2014,Hilux,Workmate,USED,Automatic,2.7,Rear,Unleaded,11.6,44358,4.0,Ute / Tray,Richmond,NSW,4,5,White,Black,29980
104944ec-d60e-4e72-9b29-2f1234c774a5,Toyota,2020,Hilux,Rogue (4X4),USED,Automatic,2.8,4WD,Diesel,8.4,61939,4.0,Ute / Tray,Albion Park,NSW,4,5,Silver,2Lle21,69990
bc2460ac-cda6-4329-9932-252ae863a320,Toyota,2016,86,GT,USED,Manual,2.0,Rear,Premium,7.8,66901,4.0,Coupe,Osborne Park,WA,2,4,Grey,Black,26877
da93b50f-362d-44d5-a8bc-c3f614bdceb9,Toyota,2011,Hilux,SR,USED,Manual,3.0,Rear,Diesel,8.1,181803,4.0,Ute / Tray,Richmond,NSW,2,3,White,Grey,15990
